,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
01652500,0.0742162254437384,0.1475280862026304,0.6811539337336459,0.9486264045927456,0.7656751646707688,0.9223548925659594,1.024518188198906,0.0234736760759263,0.036804024370746,p3t1
02087359,0.3426946564474609,0.840491875696921,0.0283058318029159,1.6156775709515108,0.9329290003481864,1.5283535860992912,1.4051307864083231,0.1760817074385152,0.2483883040320182,p3t2
02087580,0.7992556876792289,1.182297068718898,-0.9309785330669216,0.1477084449517431,0.158227732183157,0.0958378026763525,0.1691974626710022,0.0946016445336214,0.1103624422748805,p3t1
02093800,0.3442780478320045,0.6248910183031751,-0.0078261634707905,3.567210660852549e-16,0.965477106760029,0.3473228062112208,0.5495891509674093,1.2327597991698356,1.1582610332831993,p3t1
02094659,0.3698592913296115,0.8269080014637739,-0.0054058010753599,2.692487678259557e-16,1.074915485433511,0.1898509181489317,0.4563969850353435,1.5690822542219616,1.5339747990791972,p3t1
02094770,0.6162226179688736,0.7979350399072263,-0.3137470179569501,0.6325709964178434,0.4205793239371039,0.4929326080721202,0.6296003525835767,0.1583246747940198,0.2283453674719033,p3t2
02094775,0.1907145013433528,0.2272696709039177,-0.3053755778859615,1.5363796139090735,0.8956757243112576,1.153329300785468,1.163476259069146,0.7690387959290088,0.7871015659113609,p3t1
02095000,0.4194725283193342,0.9509249541761928,-0.0220455265868135,0.0,0.8059363798683481,0.1088821634074645,0.258254949236455,2.3374055405835708,1.546908126527434,p3t1
02423571,0.164548430208703,0.2704866002611707,0.350322874639574,1.1067167681413737,0.5322275416632166,1.285389205654495,1.1163677816345985,-9.656168245502278e-06,0.0001303110743914,p3t2
02461130,0.1743605990890203,0.4939550645589276,-0.1091093212078837,0.2064183887981372,0.0188896837906552,0.0606913622171455,0.0395618093470251,-5.3455886713265695e-06,2.9646387976414974e-15,p3t1
02480345,0.5124439079168268,0.7425137074026367,-0.6768831455409317,1.8637317497136177,1.1801273600749205,1.5222178370986674,1.7873067464031132,-0.0850836080545022,0.3815589380586274,p3t2
02481251,0.7530711999243295,0.961301686387395,-0.2261073618935354,0.647719870873551,1.1371157796870626,1.0769606836740986,1.0436605319833092,1.3892444087273692,1.1773353824182635,p3t1
03426387,0.169635450447292,0.2410155324362138,0.2595154618906196,1.042990104332684,0.6748884555411784,0.953793603993754,1.0396371851084338,0.0583768981272599,0.2739844667735674,p3t1
03431040,0.2982872592466067,0.3409725321220555,-0.1904791191812056,0.8986821663155332,0.7126818494954267,0.8673718576877274,0.8233899333554205,0.6948855354237455,0.6367697542615066,p3t1
03431100,0.2036208872208774,0.2754428557738584,-0.1175016922138629,0.5966272621851899,1.2305091932765255,1.017279920180175,1.0558218162002224,1.6821371808514738,1.5656676806434735,p3t1
03431530,0.1758538630568767,0.3182606344410108,0.3153914744173848,0.98175492695455,0.8738420920490299,0.9580117536277868,1.0397469129397063,0.6862945985298317,0.7964532386238988,p3t1
03431655,11.668082173370497,11.711533065969997,-1751.9785498050655,3.3722637038575938,19.040208375623425,7.037959383108099,11.384787762946022,25.55658670511781,24.728573708297805,p3t2
03575890,0.2096264775912847,0.3522145754049492,0.1383347362278107,1.1332644413056467,0.7553398548255065,1.1602735826389872,1.1275077014325718,0.1403587745688831,0.2288757155086764,p3t2
03575980,0.3665226636590094,0.461476762367098,0.4063458767791595,0.9007214101501698,1.199054006644258,1.0976690967565297,1.110660454907331,2.51946224322783,1.689139391591406,p3t1
06711575,0.1868068988288194,0.2643287384744531,0.2324374207009172,0.5292486292777607,0.8105319308702627,0.6129271605184394,0.7025055549347616,0.9561522123249468,1.6699062943407754,p1t2
06893750,0.1690905174243799,0.2941035619745809,0.6083386503140953,0.9314938735197232,1.2019238456561017,0.8335637754496654,1.1678829180406107,0.9681498088138172,1.2200600426875663,p3t2
07031692,0.5697320940404592,1.1661136251102582,-0.3046348183069103,1.0874613801671443e-16,0.3898255837783534,0.062447799550273,0.1269985708361316,0.8090943966573152,0.697605184184412,p3t1
07103980,,,,,,,,,,
07331185,0.7037995444191342,0.8342574526741996,-0.3377099942730799,0.0,1.5300396919124124,0.5204012471194248,0.6867927344949225,49.36529041287626,8.418019093078764,p3t1
07334428,0.6536349795125925,0.982610092532762,0.0250798335618406,0.3566636294633876,1.1717791133881743,0.7889095561336398,0.9260717147524156,1.5551136494556477,1.3936651153151578,p3t2
08159110,0.3109868783054771,0.4585350380892587,-1.432052387828103,1.9465661816787847,0.7332784735941864,2.04715111175298,1.661969561546499,0.018182235453156,0.0417139372294937,p3t1
08167870,0.1915007302141561,0.2797510823761386,-0.4948206422005869,1.6199594990090231,1.5281939761895271,1.3782784616859536,1.596953893704639,1.0562790467229346,1.0467983025950394,p3t1
08168770,0.2261081170739153,0.5520338890605403,-7349.372757211721,78.97244936514682,11.009530145959612,87.04771268098014,39.12062965329521,0.5101995170088711,1.1398058356787797,p3t2
08177700,0.0939707586987929,0.1951479563832677,0.3923095771906987,1.288900133677633,0.8676791047081863,1.3787766776688093,1.5161860083378595,0.000748587678324,0.0039151362210671,p3t2
08329700,0.0455980523496728,0.065954987233066,-0.4815242887956972,0.938353869657994,0.3114195410421491,0.9672711795911866,0.8382981043564987,-0.0001234237679838,6.523890013304586e-05,p3t1
08330200,0.5719219279870548,0.8109454569721022,-0.6046660480995594,0.5382402404950855,0.4912488359157411,0.8473528805716987,0.5502516046606618,0.6638262457714164,0.6012367491168201,p3t1
09065100,,,,,,,,,,
09419659,0.0350599982427445,0.0961710325294361,-9.757984356095498,3.2055167037351886,1.0025090441415487,1.041957280845158,1.0190483999823108,0.9992777145440496,0.9992829758885656,p3t2
09419740,0.1219410671393394,0.1337779811020666,-0.2470418610441624,0.7984767780440033,0.6915967304474282,1.1670215710499956,0.9623444979544132,0.7264333348146302,0.5740725029513873,p3t2
11027000,0.675119511015715,0.8841667108704583,-5.305400114718977,2.115023417616245,2.464777088233278,1.632602446455154,2.055982539755341,1.8799105757567345,3.249504841174307,p3t1
