,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,training_time_minutes,model
01022500,1.080753803119469,1.8068280543167048,0.3370347634991086,0.5467669148447526,0.7798364467148071,0.517889942719104,0.5962960237664912,1.095194354712468,0.9959596227400886,16.83933725333333,p3t1
01031500,1.2192259327128734,2.3208245834829686,0.4267591107538322,0.7567935167523114,0.8106824456284737,0.7243126063579429,0.7920688867442989,0.3765264949154218,0.9125090862389064,18.27974439,p3t2
01047000,420.464499095143,721.6708323460999,-48788.586102850175,179.77856599913034,205.50291034225077,66.68450963827547,134.60826990181457,0.6140273114345158,1.9414719248629888,17.46447781166668,p3t1
01052500,1.7616015355550585,2.806256677517416,0.3988122582216917,0.9348496205592176,1.2811071020657827,0.93777520080911,0.9946232065461608,1.1369885262089925,2.0903821246720145,16.310923059999975,p3t2
01055000,1.5208986754267595,3.405521787191933,0.3449361315304055,0.6248800286191143,0.9352242816219,0.5745112091120002,0.7671535588326809,0.4864557739161279,1.3038683532727653,18.118587686666675,p3t2
01057000,1.6246929086618709,2.7116977792355543,-0.0006685504260095,1.020847474893436,1.0588552941580611,0.8875527304162597,1.0865111171010624,-0.7956754088717299,0.9535979565777865,14.46549777666672,p3t2
01073000,994.9231923664216,1017.4341906384282,-157198.91521474737,82.95774465305806,633.2319966774633,78.4082105604195,158.4925123098581,5180.706174948708,1328.7381301294106,12.800041675000042,p3t1
01078000,1.210462281306393,1.9604809107188832,0.3599463349379571,0.9995953895585866,1.1352469585569906,0.9787532007047288,1.0385263630423975,1.135862195157987,1.330780719181366,16.442250566666676,p3t2
01123000,1.2257582396998716,2.0445548878518567,0.1510321921827122,0.7940291753928239,1.129989781565414,0.7813358812981283,0.8942839313935226,2.498440512014637,1.306754832073397,16.95871536666673,p3t2
01137500,10.07595242627858,16.436140680475148,-25.56029090870771,4.281211151551574,5.445370365368712,2.0101279790874336,3.7213914593474975,1.2115282451114036,2.012841458443317,21.322548283333404,p3t2
01139800,2.7505492677983807,4.753906515958793,-5.196336845118815,2.319436833489979,2.0250054847965098,1.470496925688343,2.179693494084588,0.5180286634578065,1.0916890512283297,15.665933265000058,p3t2
01142500,1.1060983432554583,1.7892610893012495,0.3517588386510205,0.8389295557533971,1.0551639075683668,0.7883762945407812,0.9453799379322022,0.948148859405196,1.259604545889646,10.65586960666648,p3t2
01144000,1.186696681894614,1.9570919000576037,0.2209988695471026,0.9831983270613284,1.059824886596402,0.8975908250920506,1.035501171208834,0.641370127060218,1.0643095461895216,15.28330723333347,p3t1
01169000,1.8108903955665072,2.9295242972393947,0.0463472087768577,0.6334662173702063,0.6934462247937121,0.5272569685405519,0.6196263401223621,-0.6817000106937519,0.9207490241667016,15.862200998333476,p3t1
01170100,1.5468796959640474,2.5169071449503178,0.2164407898517775,0.7837338807727869,1.1322664732274526,0.7280003557090087,0.8847125679927224,1.9382753409452904,1.5146700248016958,13.918257354999756,p3t2
01181000,1.764714854322325,3.4178179922962397,-0.2736441481512346,1.1412321259533598,1.1519174687455325,1.076216245328472,1.1813017133335637,0.3948346029299427,1.0704691035007985,18.5210086716664,p3t2
01187300,1.9591636264266992,3.865921402610994,-0.1143436738429559,1.0139192995735922,0.9769690480230536,0.950862451131694,1.1047965347589157,-0.8008220200544813,0.7472354835324583,17.020565713333294,p3t2
