,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
97-50059,1.5471776450459382,1.902125951207007,-0.7756204557900452,0.4467176358982648,2.075871120814037,0.9673620950561882,0.9894653152672388,22.451939593309454,4.763265022279681,p3t1
97-50073,0.1141672955418055,0.1354914711704112,0.8816154227924226,1.1368472679501749,0.7858794626181549,1.0457659103316437,1.0361017930828798,4.065738137018834e-06,0.0113568405438612,p3t2
97-50139,0.1439271583541565,0.1691142797903801,0.2160841553410808,1.127484368113195,0.6240350549731961,0.819046667113459,0.8779069940959636,0.143701678205926,0.4595625284162664,p3t1
97-50169,0.0237300904481897,0.0458655546354635,0.8336249441535594,1.141140953615904,0.7826572500117328,1.3277958155612912,1.0638014334827914,-0.000209303259901,-2.1516320182775223e-18,p3t1
97-50204,0.0377978391959182,0.1108584749343491,0.4518779313994748,0.3400811958506909,0.3226792984810476,0.3256954535069212,0.3660589785795175,-3.00149350661727,1.5404104116574615e-05,p3t2
97-50229,0.1755011468551425,0.2341545596207678,0.7633545614075866,1.1652759369300285,0.9234899911404322,0.9572118436704188,1.0326675360895092,0.8149231490305087,0.7439674131795336,p3t2
97-50232,0.7442794047762274,0.96385852163936,-0.6218521858718236,1.037613860771493,0.9995116381322326,0.6978411137562914,0.7289048233398334,0.911480315371856,1.1660968420803826,p3t2
97-50233,0.7567301796318386,1.0197038778048069,-1.3013926358520993,0.5554242830316232,0.4167410486730165,0.3470422357128104,0.299342344946395,0.1309492054079922,0.5497546229164414,p3t2
97-50234,1.1294541603218664,1.377015988255225,-1.1459274598442462,1.0277212536904772,1.0335598692037813,0.4717532250562359,0.5259264373128273,0.5870546784868985,1.5138381462149584,p3t2
97-50236,0.3692313769644781,0.4047802765778883,-0.2873989253000455,1.4337162168155346,0.6202331649147798,0.8909881122262271,1.009636715870928,0.0007671410028609,0.0796406023102452,p3t1
97-50237,0.3414146340161702,0.4720596488833412,0.3777499365469488,0.9719892189547004,0.732989166874631,0.7357837726908985,0.7627454762583633,0.3888656664823747,0.650744450548653,p3t2
97-50262,0.280493585722038,0.3511403288814746,-0.972502706930226,0.3712845975420684,0.2451563425558416,0.3250912426487326,0.3088837354636847,0.0070579214135278,0.2324086758834596,p3t2
97-50298,0.0454616506148749,0.0554900586301834,0.9334120152312988,1.1871799129991003,0.953506280339815,1.0940741766650333,1.1276252883421287,0.21963711176971,0.5717014378034779,p3t2
97-50311,0.1920858291517719,0.2295157458383018,0.7335974521018764,0.8099352596846632,1.2042208181674825,1.0592371593687775,0.998897611359608,2.261324224730126,1.4243885985309788,p3t1
97-50432,0.3477817072833857,0.3928393025385038,0.4374492602762532,0.626085231558051,1.3336172830334518,0.910217472725264,0.8959176589653027,2.5506785596501915,1.7637764810710983,p3t1
97-50433,0.1587645075645999,0.2741985129004703,0.5919279081181696,1.2700674130937075,1.2067953844303687,1.2591578353357216,1.277446380523833,0.0415747798893168,0.8962283950947884,p3t2
